timestamp,year,month,day_of_year,hour,shift,sensor_id,latitude,longitude,elevation_ft,weather_station_id,sensor_status,data_quality_flag,temperature_f,precipitation_in,humidity_pct,wind_speed_mph,barometric_pressure_inhg,slope_zone,slope_angle_deg,bench_height_ft,rock_type,rock_mass_rating,joint_spacing_ft,joint_orientation_deg,depth_to_water_ft,pore_pressure_psi,blast_frequency_7days,distance_to_blast_ft,blast_magnitude_lbs,equipment_passes_per_shift,microseismic_events_daily,max_seismic_magnitude,displacement_rate_mm_per_day,cumulative_displacement_mm,tiltmeter_microradians,strain_gauge_microstrain,vibration_ppv_mm_per_s,rockfall_risk_score,rockfall_occurred,rockfall_size_category
2024-01-01 00:00:00,2024,1,1,0,SWING,SENSOR-008,-25.335115,140.424678,1181.82,WS-001,ACTIVE,GOOD,61.49,0.35,41.0,6.16,28.96,Zone B,38.11,60.59,LIMESTONE,38,1.81,32.97,118.41,41.41,3,646.79,1267.36,8,4,3.24,3.0685,46.725,225.6747,33.1873,25.2637,35.37,1,NONE
2024-01-01 06:00:00,2024,1,1,6,SWING,SENSOR-007,-26.909545,140.650661,1388.68,WS-009,ACTIVE,POOR,82.9,0.02,46.28,3.97,30.45,Zone D,49.42,37.05,GRANITE,78,0.84,88.82,165.84,17.95,0,833.92,3680.86,12,6,0.8,7.5541,201.2184,185.6482,32.0151,43.2921,19.97,0,NONE
2024-01-01 12:00:00,2024,1,1,12,DAY,SENSOR-006,-25.47843,141.122554,1770.97,WS-004,ACTIVE,POOR,85.34,0.12,59.63,0.54,30.33,Zone E,29.86,31.57,GRANITE,68,1.91,45.77,186.13,19.97,3,360.78,1225.5,13,2,4.07,3.7024,332.6569,274.2777,163.4136,44.9085,20.77,0,NONE
2024-01-01 18:00:00,2024,1,1,18,SWING,SENSOR-013,-25.114181,140.646406,1518.79,WS-009,CALIBRATING,GOOD,70.18,0.04,72.18,6.22,29.88,Zone D,36.33,54.86,BASALT,48,1.78,3.32,141.43,30.11,1,917.44,1578.03,6,1,4.44,0.0,0.0,128.6071,137.7058,38.3194,25.73,0,NONE
2024-01-02 00:00:00,2024,1,2,0,NIGHT,SENSOR-001,-25.818214,141.355129,1016.59,WS-003,CALIBRATING,GOOD,66.15,0.0,60.73,7.75,29.31,Zone C,56.09,49.34,LIMESTONE,86,1.12,30.7,67.02,46.99,5,317.67,918.96,11,1,1.9,0.0,0.0,365.7183,180.4509,44.4672,9.06,0,NONE
2024-01-02 06:00:00,2024,1,2,6,DAY,SENSOR-049,-25.696077,140.448539,1712.18,WS-006,ACTIVE,GOOD,54.28,0.12,44.23,10.08,29.51,Zone D,63.22,62.88,GRANITE,64,0.92,33.09,89.78,19.76,6,543.27,1378.59,12,1,0.6,2.112,22.0819,326.2814,43.651,47.0825,15.26,0,NONE
2024-01-02 12:00:00,2024,1,2,12,NIGHT,SENSOR-023,-26.366156,140.338985,1556.8,WS-010,ACTIVE,GOOD,63.91,0.19,86.17,7.67,30.8,Zone D,52.68,79.5,BASALT,38,2.83,78.96,161.12,37.88,4,880.37,4609.58,10,2,3.69,2.739,264.9272,328.4823,143.3737,39.9938,17.92,0,NONE
2024-01-02 18:00:00,2024,1,2,18,DAY,SENSOR-025,-25.354799,140.720381,1127.06,WS-002,MAINTENANCE,GOOD,56.98,0.0,61.33,3.32,30.26,Zone E,28.84,32.58,SANDSTONE,61,2.93,57.37,158.91,49.03,3,495.07,853.05,9,3,1.13,2.0639,121.4347,132.619,114.3531,36.0152,21.43,0,NONE
2024-01-03 00:00:00,2024,1,3,0,SWING,SENSOR-013,-26.907995,140.081458,1855.46,WS-002,ACTIVE,GOOD,45.8,0.01,72.22,2.84,29.89,Zone C,46.31,38.66,GRANITE,56,2.29,55.43,145.26,11.81,5,163.51,3390.89,16,0,2.05,0.4669,36.5122,325.2112,97.068,27.7352,19.28,0,NONE
2024-01-03 06:00:00,2024,1,3,6,DAY,SENSOR-007,-26.43629,140.23633,1696.74,WS-007,ACTIVE,FAIR,68.11,0.17,67.74,6.61,30.21,Zone C,37.69,38.87,LIMESTONE,75,4.13,89.15,111.89,24.88,7,912.3,2773.64,13,2,4.08,2.4421,94.5291,200.7088,12.0592,45.3637,34.15,1,NONE
